utt_id,technique,variant,singer_id,cos_to_source,shift_norm,shift_alignment
EN-Alto-1__breathy__technique__let_it_go__0003_v1,breathy,1,EN-Alto-1,0.687012255191803,0.7911862134933472,0.10138680040836334
EN-Alto-1__breathy__technique__let_it_go__0003_v2,breathy,2,EN-Alto-1,0.6271174550056458,0.8635768294334412,0.11606135964393616
EN-Alto-1__breathy__technique__let_it_go__0004_v0,breathy,0,EN-Alto-1,0.8495237827301025,0.5485913753509521,0.10722479224205017
EN-Alto-1__breathy__technique__let_it_go__0004_v1,breathy,1,EN-Alto-1,0.8255187273025513,0.5907304883003235,0.09588681906461716
EN-Alto-1__breathy__technique__let_it_go__0004_v2,breathy,2,EN-Alto-1,0.7757748365402222,0.6696644425392151,0.12109219282865524
EN-Alto-1__breathy__technique__let_it_go__0005_v0,breathy,0,EN-Alto-1,0.8042374849319458,0.6257195472717285,0.1446075290441513
EN-Alto-1__breathy__technique__let_it_go__0005_v1,breathy,1,EN-Alto-1,0.7684212923049927,0.6805568337440491,0.1146906241774559
EN-Alto-1__breathy__technique__let_it_go__0005_v2,breathy,2,EN-Alto-1,0.7191430330276489,0.74947589635849,0.1260976642370224
EN-Alto-1__breathy__technique__let_it_go__0006_v0,breathy,0,EN-Alto-1,0.790516197681427,0.647277295589447,0.13706079125404358
EN-Alto-1__breathy__technique__let_it_go__0006_v1,breathy,1,EN-Alto-1,0.7650070190429688,0.6855553388595581,0.11098732054233551
EN-Alto-1__breathy__technique__let_it_go__0006_v2,breathy,2,EN-Alto-1,0.6995992660522461,0.7751139402389526,0.1551429033279419
EN-Alto-1__breathy__technique__once_up_a_dream__0000_v0,breathy,0,EN-Alto-1,0.8601803779602051,0.5288093090057373,0.22229790687561035
EN-Alto-1__breathy__technique__once_up_a_dream__0000_v1,breathy,1,EN-Alto-1,0.8312646746635437,0.5809223055839539,0.25102299451828003
EN-Alto-1__breathy__technique__once_up_a_dream__0000_v2,breathy,2,EN-Alto-1,0.795287013053894,0.6398641467094421,0.28048503398895264
EN-Alto-1__breathy__technique__once_up_a_dream__0001_v0,breathy,0,EN-Alto-1,0.8316994905471802,0.5801735520362854,0.24897640943527222
EN-Alto-1__breathy__technique__once_up_a_dream__0001_v1,breathy,1,EN-Alto-1,0.7857825756072998,0.6545495390892029,0.2553877532482147
EN-Alto-1__breathy__technique__once_up_a_dream__0001_v2,breathy,2,EN-Alto-1,0.729804515838623,0.7351129651069641,0.2818698585033417
EN-Alto-1__breathy__technique__once_up_a_dream__0002_v0,breathy,0,EN-Alto-1,0.788593053817749,0.6502415537834167,0.23658813536167145
EN-Alto-1__breathy__technique__once_up_a_dream__0002_v1,breathy,1,EN-Alto-1,0.771202564239502,0.6764577627182007,0.23093539476394653
EN-Alto-1__breathy__technique__once_up_a_dream__0002_v2,breathy,2,EN-Alto-1,0.7306721806526184,0.7339317202568054,0.2507604658603668
EN-Alto-1__breathy__technique__once_up_a_dream__0003_v0,breathy,0,EN-Alto-1,0.8277358412742615,0.5869653224945068,0.256192147731781
EN-Alto-1__breathy__technique__once_up_a_dream__0003_v1,breathy,1,EN-Alto-1,0.7928975820541382,0.6435874104499817,0.24400220811367035
EN-Alto-1__breathy__technique__once_up_a_dream__0003_v2,breathy,2,EN-Alto-1,0.7407540678977966,0.7200638055801392,0.2710654139518738
EN-Alto-1__breathy__technique__safe_and_sound__0000_v0,breathy,0,EN-Alto-1,0.439565509557724,1.058711051940918,-0.03144235536456108
EN-Alto-1__breathy__technique__safe_and_sound__0000_v1,breathy,1,EN-Alto-1,0.3915363550186157,1.1031442880630493,0.005643932614475489
EN-Alto-1__breathy__technique__safe_and_sound__0000_v2,breathy,2,EN-Alto-1,0.33208167552948,1.155784010887146,0.03953219950199127
EN-Alto-1__breathy__technique__safe_and_sound__0001_v0,breathy,0,EN-Alto-1,0.699707567691803,0.7749740481376648,0.12826600670814514
EN-Alto-1__breathy__technique__safe_and_sound__0001_v1,breathy,1,EN-Alto-1,0.6588951945304871,0.8259598612785339,0.16151341795921326
EN-Alto-1__breathy__technique__safe_and_sound__0001_v2,breathy,2,EN-Alto-1,0.6140459179878235,0.8785830140113831,0.16717644035816193
EN-Alto-1__breathy__technique__safe_and_sound__0002_v0,breathy,0,EN-Alto-1,0.683700680732727,0.7953608632087708,0.11453057825565338
